age,residence_type,address,education_level,job_type,number_years_at_job,marital_status,num_tickets_purchased,last_ticket_purchase_year,other_tickets_purchased,gym_membership_ind,prior_year_spend,prior_year_spend_external,primary_credit_card,last_activity_social,other_streaming_services,cable_provider,search_history_summary,rating_history,promotion_type,conversion_ind,ltv
26,S,"936 Anna Locks Apt. 075, North Kristina, FL 34909",no_hs_diploma,retail,4,0,0.0,,"['c', 'fb', 'fb', 'fb', 'fb', 'bxb', 'bsb', 's']",0,9.06,88.59,SLAMEX,2018-03-01,3,Infinity,"['UBCmarketclips.com', 'QSRfurnitureinfo.com', 'premierwrestling.com', 'nationalfurnitureinfo.com']",,bronze,0.0,0.0
22,S,"229 Burgess Plaza Unit 864, Josephborough, CO 81053",some_college,service,2,1,0.0,,,1,,221.08,passport,2017-05-30,2,Infinity,"['QSRtechmagazine.com', 'globalwrestlingnews.com', 'totalfightingmagazine.com', 'nationaltechinfo.com']",,silver,0.0,0.0
42,U,"956 Donald Lodge, Franklinmouth, TX 77675",grad_high_school,service,11,1,5.0,2016.0,"['bxb', 'fb', 'c', 'c', 'fb', 'bsb', 'c', 'fb', 's', 'c']",1,15.83,93.66,pursuit,2017-09-01,2,Infinity,"['totaloutdoormagazine.com', 'UBCbooksclips.com', 'nationalrecipesmagazine.com']",,silver,1.0,2261.6929097244147
24,S,"6576 John Port, Nicholasmouth, CA 94424",grad_college,marketing,1,0,0.0,,,0,20.31,547.8,passport,2019-10-13,2,DefecTV,"['financeinfo.com', 'nationalcampingmagazine.com', 'actionmarketnews.com', 'dailywildlifereport.com', 'totalwrestler.com']",,bronze,0.0,0.0
27,S,"0219 Rivera Ville, Kevinview, CA 90146",grad_college,education,6,1,0.0,,"['bsb', 'bsb', 'c', 'fb', 'bxb', 'c', 'c', 'c', 'p']",0,50.23,47.31,passport,2017-06-18,5,DefecTV,"['firstwrestlingclips.com', 'nationalbooksmagazine.com', 'majorfurnitureclips.com']",,gold,1.0,2310.3155314145192
38,S,"797 Zavala Causeway, Kathyton, FL 33929",grad_college,tech,8,1,0.0,,"['fb', 'bsb', 'fb', 'c', 'c', 'fb', 'bxb', 'fb']",1,,325.2,maincard,2021-08-23,3,Spectral,['actionbooksmagazine.com'],,gold,1.0,1442.172024358662
19,U,"64912 Scott River, Sherrymouth, TX 75978",grad_college,finance,1,1,0.0,,,0,44.18,237.82,maincard,,5,Spectral,"['firstfurnitureclips.com', 'actionwildlifemagazine.com', 'totalsports.com']",,gold,1.0,1824.3619458832402
46,S,"03144 Dustin Shoals Unit 405, Grahambury, CA 92072",grad_high_school,government,15,1,1.0,2012.0,"['fb', 'c', 'c', 'fb', 'bxb', 'p']",1,94.67,32.04,maincard,2022-12-09,3,DefecTV,"['QSRfightingnews.com', 'firstoutdoormagazine.com', 'campingnews.com']",,silver,1.0,2222.2735881135677
40,U,"66405 Parsons Place Unit 145, Hectorberg, TX 75091",some_college,service,17,1,1.0,2010.0,"['fb', 'bxb', 'bsb', 'bxb', 'bxb']",0,,,,,5,Spectral,"['UBCsport.com', 'firstwrestlingreport.com', 'majorfinance.com']",,silver,0.0,0.0
76,S,"31003 Perez Tunnel Apt. 028, Josephbury, CA 95420",grad_high_school,service,15,1,2.0,2013.0,"['bxb', 'fb', 'fb', 's', 'fb', 'c']",1,,9.53,maincard,,1,DefecTV,"['majorpoliticsmagazine.com', 'premiercampinginfo.com', 'firstfurniturenews.com']",,gold,1.0,0.0
53,U,"936 David Stravenue Unit 508, Andreamouth, NY 13211",grad_college,marketing,10,0,1.0,2022.0,"['c', 'c', 'fb', 'c', 'bsb', 'fb', 'c', 'c', 'fb', 'fb']",1,51.78,371.41,maincard,2021-06-30,3,Fish Network,"['totalfinancenews.com', 'premierwrestler.com', 'QSRfightingclips.com', 'globalfurniturereport.com', 'nationalpoliticsclips.com', 'firstwrestlernews.com']",,silver,1.0,3911.785737108531
33,S,"47608 Davis Valleys, Daleburgh, CA 90259",grad_high_school,service,13,0,7.0,2021.0,"['bxb', 'bsb', 'fb', 'bsb', 'bxb', 'c', 'c', 'bsb', 'fb', 'bsb']",0,13.36,207.99,maincard,2017-12-12,6,DefecTV,"['dailyrecipesmagazine.com', 'dailypoliticsmagazine.com', 'totaltechclips.com', 'totaltechreport.com']",,gold,1.0,1761.765945814772
28,U,"00025 Martin Knolls Apt. 329, Rebeccaview, NY 11336",some_college,retail,8,1,4.0,2013.0,"['fb', 'fb']",1,22.67,215.71,passport,,1,nan,"['nationaltechreport.com', 'premierfurniture.com', 'globalwrestlerinfo.com', 'actionbooksclips.com', 'nationaloutdoormagazine.com']",1,gold,1.0,1927.8698127525986
37,U,"1593 Christopher Burgs Unit 391, Donnaberg, TX 75627",grad_college,education,8,1,1.0,2013.0,"['c', 'fb', 'c', 'fb', 'fb', 'p', 'c', 'bxb', 'fb', 'bsb']",0,,146.47,maincard,,2,Fish Network,"['totaloutdoorclips.com', 'actionfurniture.com', 'nationalfinancemagazine.com', 'wrestlingreport.com', 'premieroutdoorinfo.com']",,bronze,0.0,0.0
46,S,"358 Ryan Tunnel, Lake Jasmineside, MI 48035",masters_professional,marketing,10,1,0.0,,"['c', 'c', 'bxb', 'c', 'c', 'fb', 'c', 'fb', 'fb', 'c']",0,6.25,,,2018-01-09,1,Infinity,"['politicsnews.com', 'premierfightingreport.com', 'totalwildlifenews.com', 'nationalcampingmagazine.com']",,gold,0.0,0.0
35,U,"23725 Strong Lakes Unit 870, Lake Kristinland, TX 79929",some_college,service,12,1,7.0,2018.0,"['c', 'fb', 'fb', 'bxb', 'bxb', 'c', 'bxb', 'bsb', 'fb', 'fb']",0,16.84,6.17,passport,,5,DefecTV,"['firstbooksinfo.com', 'majorwildlifeclips.com', 'majorwrestlinginfo.com', 'premierbooksclips.com', 'actionoutdoornews.com', 'UBCwrestlerreport.com']",,bronze,1.0,2227.476632351134
28,U,"002 Kayla View, South Laura, CA 93224",grad_college,legal,7,1,0.0,,"['fb', 'c']",1,16.05,120.38,maincard,,3,Spectral,"['premierwrestlermagazine.com', 'actionfurniturereport.com', 'UBCtech.com', 'QSRbooksmagazine.com', 'firsttech.com']",,silver,1.0,1696.0954698447774
75,S,"761 Todd Corner Unit 590, North Jenniferhaven, CA 93019",grad_college,,6,0,4.0,2019.0,"['fb', 'p', 'fb', 'c', 'fb', 'fb', 'fb', 'fb', 's', 'c']",0,4.83,125.25,maincard,2019-08-04,4,DefecTV,"['firstpolitics.com', 'majorbooksnews.com', 'premiertechnews.com']",,bronze,0.0,0.0
35,S,"245 Lisa Groves, Sandraview, TX 76051",grad_college,finance,13,1,4.0,2015.0,"['c', 'fb', 'fb', 'c', 'bxb', 'bsb', 'c', 'c', 's', 'bxb']",0,,56.93,pursuit,2022-12-17,3,Spectral,"['nationaloutdoorreport.com', 'dailyfinancemagazine.com', 'QSRcampingnews.com']",,silver,0.0,0.0
29,S,"050 Michelle Vista, Rossville, MA 2718",grad_high_school,none,9,1,0.0,,"['bsb', 'fb', 'bxb', 'fb', 'bxb', 'fb', 'fb', 'fb', 's', 'fb']",1,,540.12,maincard,,2,Spectral,"['totaloutdoorinfo.com', 'actionwildlifenews.com']",,silver,0.0,0.0
59,U,"9360 Seth Station, Vasquezmouth, NY 13902",grad_college,legal,6,1,16.0,2015.0,"['c', 'c', 'fb', 'p']",1,10.36,53.79,maincard,2022-11-08,5,Infinity,"['globalbooksclips.com', 'firstfinance.com', 'dailywildlifeinfo.com', 'actionfinanceinfo.com']",,gold,1.0,2203.806455972667
41,U,"29376 Sarah Via, Cristianland, TX 78913",grad_college,,14,1,27.0,2015.0,,1,2.38,112.92,SLAMEX,,1,ShrewTube,"['QSRoutdoorreport.com', 'majorfinance.com', 'wrestlernews.com']",,gold,1.0,3401.046523999537
48,S,"581 James Roads, New Kathryn, AZ 85681",grad_college,government,9,1,4.0,2010.0,"['c', 'c', 'fb', 'fb', 'fb', 'fb', 'bxb', 'fb', 'bxb', 'bsb']",0,11.36,565.35,maincard,2016-04-01,5,Spectral,"['globalrecipesmagazine.com', 'actiontechmagazine.com', 'nationalcampinginfo.com', 'globalwildlifereport.com']",,gold,1.0,1646.6896301061324
74,U,"8191 Anthony Pine, West Brookeport, CA 90814",grad_high_school,none,11,1,4.0,2011.0,,0,23.36,244.93,maincard,2018-02-22,1,DefecTV,"['dailytechnews.com', 'campingmagazine.com', 'UBCfinance.com']",,silver,1.0,693.8317178934348
33,S,"8507 Patel Way, Heatherside, CA 93233",masters_professional,legal,9,0,3.0,2020.0,"['s', 'fb', 'c', 'fb', 'p', 'bxb', 'bxb', 'fb', 'p', 'c']",0,,,,2018-03-09,0,Infinity,"['totalpoliticsnews.com', 'recipesinfo.com', 'sports.com']",,bronze,0.0,0.0
44,U,"25189 Barbara Isle Apt. 785, Howellberg, TX 79108",grad_high_school,service,8,1,0.0,,"['p', 'fb', 'fb', 'fb', 'bxb', 's', 'fb', 'bxb', 'c', 's']",0,,23.87,SLAMEX,,6,Fish Network,"['QSRrecipesmagazine.com', 'firstwrestling.com', 'UBCpoliticsreport.com']",,gold,0.0,0.0
47,U,"2267 Stephen Underpass, New Steven, CA 95916",some_college,retail,11,1,6.0,2020.0,"['s', 'fb', 'fb', 'fb']",0,33.7,64.88,maincard,2021-12-15,3,Spectral,"['premierfurnitureclips.com', 'UBCtechreport.com', 'majorfinance.com', 'firstbooksclips.com', 'majorfinancereport.com']","3, 5, 4, 3",gold,1.0,3025.251158724554
78,S,"770 Cynthia Canyon, Katiefort, CA 94133",grad_high_school,service,8,1,5.0,2011.0,,1,1.66,141.94,maincard,,5,nan,"['actionfurnitureinfo.com', 'nationalwildlifemagazine.com']",,silver,1.0,86.83992351152725
20,U,"38943 Cheryl Manors, West Nicholasmouth, FL 34534",grad_college,marketing,2,0,0.0,,,1,13.67,5.26,SLAMEX,2018-09-13,1,nan,"['nationalfurnitureinfo.com', 'globalfinanceinfo.com', 'globalwrestlinginfo.com']",,bronze,1.0,1900.6375001961678
44,S,"30955 Sherry Port, Taylorville, CA 92007",grad_college,,11,1,23.0,2019.0,['bsb'],0,,147.86,pursuit,,4,Infinity,"['globalwrestlermagazine.com', 'dailytech.com', 'wrestlerclips.com', 'premierwrestlerclips.com', 'premiertechnews.com']",,silver,1.0,2686.3222002962307
39,S,"0183 Sara River, New Robert, CO 81549",grad_high_school,,7,1,6.0,2012.0,"['c', 'fb', 'fb', 'fb', 'c', 'bsb', 'bsb']",0,1.56,115.24,maincard,2017-10-19,2,DefecTV,"['politicsmagazine.com', 'premiermarket.com', 'QSRfurnitureclips.com', 'globaloutdoor.com', 'premiertechclips.com']",,bronze,0.0,0.0
20,S,"4867 Nichols Fords Apt. 067, West Jacob, TN 37454",grad_college,business,3,0,2.0,2022.0,"['c', 's', 'fb', 'c', 'bsb', 'bsb', 'fb', 'fb']",0,68.68,107.74,maincard,,2,Spectral,"['UBCtechmagazine.com', 'actiontechnews.com']",,gold,1.0,3123.3487008640855
55,S,"887 Diaz Lodge, Rojasside, FL 32335",masters_professional,business,13,1,5.0,2022.0,"['fb', 'bxb', 'bxb']",1,153.39,62.4,pursuit,2021-03-27,2,Infinity,"['nationalrecipes.com', 'UBCtechreport.com', 'QSRrecipesnews.com']",,silver,1.0,3385.5063778390486
73,U,"95226 Trevor Rest, Matthewsstad, NV 89741",no_hs_diploma,none,7,1,3.0,2020.0,"['bxb', 'fb', 'fb', 'bsb', 'fb', 'bsb', 'fb', 'fb', 'fb', 'c']",0,17.77,14.07,maincard,2022-03-30,2,Infinity,"['UBCbooksclips.com', 'nationalfinancemagazine.com', 'UBCfurniturenews.com', 'dailyfinancemagazine.com', 'dailyoutdoormagazine.com', 'premierwrestlingmagazine.com']",,gold,1.0,2007.863146623784
50,S,"5923 Sheila Island Apt. 305, Chenview, CA 90081",grad_college,marketing,12,1,3.0,2022.0,"['bsb', 'bxb']",0,83.25,,,,5,nan,"['UBCmarketnews.com', 'UBCoutdoornews.com', 'UBCbooks.com', 'UBCfurniturenews.com']",,gold,0.0,0.0
23,U,"281 Ray Land, Lake Judy, NV 89757",some_college,healthcare,1,1,0.0,,['bxb'],0,,383.59,pursuit,,4,Infinity,"['furnitureclips.com', 'actiontech.com', 'majoroutdoorreport.com', 'globaloutdoormagazine.com', 'actionrecipesmagazine.com']",,silver,0.0,0.0
43,S,"3327 John Flat, West Waynehaven, FL 34185",masters_professional,finance,7,1,37.0,2012.0,,1,77.43,,,2017-01-16,4,DefecTV,"['UBCwildlife.com', 'majormarketmagazine.com', 'outdoormagazine.com', 'nationalwildlife.com', 'globalrecipesnews.com']","1, 1, 3, 3, 2, 4, 1, 3, 3, 4, 4, 5, 1, 4, 3, 3, 3, 5",gold,0.0,0.0
32,U,"8915 Curry Fork Unit 027, North Zacharyberg, CA 95023",some_college,retail,10,1,0.0,,,0,,22.91,passport,2021-12-29,1,Suboptimal,"['actionwrestlingreport.com', 'firstwildlifeclips.com', 'totalpoliticsmagazine.com']",,bronze,0.0,0.0
24,S,"8035 Larry Meadow Apt. 903, Sextonville, CA 94456",grad_high_school,service,4,0,0.0,,"['bsb', 'bsb']",0,65.38,273.47,maincard,,4,Infinity,"['actionsportclips.com', 'nationalwrestling.com', 'premiermarket.com']",,silver,1.0,2353.47631106507
40,U,"63622 Leonard Mountains, North Richardburgh, TX 76868",grad_high_school,retail,8,1,0.0,,,0,,21.9,SLAMEX,,4,Infinity,"['majorrecipesclips.com', 'marketreport.com', 'UBCrecipesclips.com']",,gold,1.0,604.3018586399339
47,U,"9764 Kim Mission, North Andrew, CA 90937",grad_college,tech,11,0,6.0,2014.0,"['c', 'c']",0,,84.79,pursuit,,3,Infinity,"['firstwildlifereport.com', 'booksnews.com', 'UBCrecipesreport.com']",,gold,1.0,1065.5565076431087
60,S,"1292 White Crossroad, Albertfurt, GA 30728",grad_college,,9,1,4.0,2013.0,['c'],1,33.18,,,2019-02-26,1,nan,"['premieroutdoornews.com', 'outdoorreport.com', 'nationalmarketinfo.com', 'QSRcampingmagazine.com', 'totalwildlifemagazine.com', 'globaloutdoornews.com', 'actionfinanceclips.com']",,gold,0.0,0.0
59,U,"671 Vanessa Harbors Apt. 359, West Rodneymouth, CA 92241",grad_college,business,6,1,11.0,2014.0,"['c', 's', 'bxb', 'bsb', 'bsb', 'bsb']",1,18.29,56.69,maincard,2017-07-11,3,Fish Network,"['majorwildlifereport.com', 'techinfo.com', 'UBCcamping.com', 'totalwrestlingclips.com']",,gold,1.0,2201.317326581395
55,S,"61062 Thornton Mission Unit 353, Janetland, FL 34132",grad_college,business,11,1,0.0,,"['bsb', 'fb']",1,,,,2018-07-18,5,ShrewTube,"['premieroutdoormagazine.com', 'globaltechmagazine.com', 'QSRtechinfo.com', 'actionmarketclips.com', 'furnituremagazine.com']",,bronze,0.0,0.0
59,U,"9152 Lambert Tunnel Apt. 872, Newtonfort, CA 93688",masters_professional,legal,10,1,10.0,2012.0,"['fb', 'bsb', 'fb', 'c', 'fb', 'c', 'fb', 'fb', 'fb', 's']",1,5.27,446.21,pursuit,2022-11-10,4,Infinity,['dailyfinanceclips.com'],,gold,1.0,1869.5649000115654
58,U,"375 Laura Mountains Unit 078, North Stephenfort, TX 78379",grad_high_school,service,9,0,7.0,2015.0,"['fb', 'bsb', 'bxb', 'c']",1,8.28,,,,3,Infinity,"['majortechnews.com', 'firstfurniturereport.com', 'dailyrecipesnews.com', 'actionwildlife.com', 'totalwildlifereport.com', 'majorwildlife.com', 'nationalfinanceinfo.com']",,gold,0.0,0.0
59,S,"20260 Williamson Flat Apt. 657, Yoderborough, CA 94684",some_college,service,7,1,9.0,2015.0,"['c', 'bxb', 'fb', 'bxb', 'fb', 'fb', 'c', 'fb', 'bxb', 'c']",1,2.66,296.67,maincard,2022-08-09,5,Suboptimal,"['firstfinancemagazine.com', 'dailybooksnews.com', 'majoroutdoorreport.com', 'globalfurnituremagazine.com']",,bronze,0.0,0.0
35,U,"38485 Austin Passage, Danielton, CA 91675",grad_college,finance,10,1,3.0,2010.0,['bsb'],0,10.4,305.59,pursuit,2020-08-31,5,Fish Network,"['majorfinancemagazine.com', 'QSRfinanceclips.com', 'majorcampingreport.com']",2,gold,1.0,1978.9463034114176
77,S,"74199 Frederick Turnpike Apt. 863, Hernandezhaven, CA 93636",grad_high_school,retail,12,1,1.0,2021.0,,0,44.78,11.5,maincard,2016-11-23,3,Fish Network,"['premieroutdoornews.com', 'nationalwrestler.com', 'globalfurnitureclips.com']",,bronze,0.0,0.0
46,U,"8019 Erickson Falls Apt. 872, Terrenceview, CA 91272",masters_professional,education,10,1,24.0,2017.0,,0,0.11,,,2016-12-22,0,Suboptimal,['totalfurniture.com'],,bronze,0.0,0.0
45,U,"555 Todd Light, North Patriciaside, CA 95432",grad_college,tech,5,0,6.0,2018.0,"['c', 'c']",1,3.32,128.43,passport,2022-11-30,5,Infinity,"['firstfurniturenews.com', 'actionfinance.com', 'globalfurniture.com', 'QSRfinanceclips.com', 'majorpoliticsmagazine.com']",,gold,1.0,2685.814656101805
39,U,"1488 Miles Harbors Unit 153, East Scott, CA 95469",grad_high_school,retail,13,1,13.0,2022.0,"['c', 'c', 'bsb', 'bsb', 'bxb', 'bsb', 's', 'fb', 'c', 'bsb']",0,69.11,475.71,passport,2019-05-31,1,DefecTV,"['nationaloutdoornews.com', 'UBCfurniture.com', 'firsttechinfo.com', 'dailytechreport.com']",,bronze,1.0,3219.189215896255
58,U,"33603 Rodriguez Dale Apt. 762, Booker, TN 37635",grad_college,none,9,1,10.0,2012.0,"['s', 'bxb', 'bxb', 's', 'fb', 'fb', 'bxb', 'bsb', 'p', 'c']",1,1.81,854.46,maincard,,1,ShrewTube,"['UBCwrestlerclips.com', 'majoroutdoormagazine.com', 'QSRbooksmagazine.com', 'nationalrecipesinfo.com', 'UBCwrestlingnews.com']",,silver,1.0,1810.5160109088251
70,U,"0909 Harrison Well Unit 742, Grantfurt, CA 90259",grad_college,marketing,8,1,1.0,2013.0,"['s', 'p', 'bxb', 'c', 'c', 'fb', 'c', 'c', 'c', 'fb']",0,82.53,190.38,maincard,,0,nan,"['premierpoliticsclips.com', 'recipesnews.com', 'globalmarketreport.com']",,bronze,0.0,0.0
27,S,"209 Rebecca Fork Apt. 990, Richardbury, FL 34706",grad_high_school,retail,7,1,14.0,2016.0,"['c', 'fb']",0,,172.57,SLAMEX,2022-05-03,5,Spectral,['dailymarket.com'],,bronze,1.0,1932.2673455713164
30,U,"675 Monica Walks Unit 335, Diazberg, CA 94093",grad_college,finance,10,0,18.0,2017.0,"['c', 'p', 'bxb', 'fb', 'bxb', 'bxb', 'bsb', 'bsb', 'fb', 'c']",0,42.95,189.3,passport,2018-11-16,2,DefecTV,"['dailyoutdoorclips.com', 'firstmarketinfo.com']",,silver,1.0,2830.655803166714
71,U,"8991 Annette Fort Unit 183, South Karenport, CA 94625",phd,business,8,1,3.0,2014.0,"['fb', 'fb']",0,,5.3,maincard,2016-06-06,1,ShrewTube,"['premierpoliticsnews.com', 'dailymarketmagazine.com', 'QSRpoliticsreport.com', 'nationalwildlifeclips.com']",,bronze,0.0,0.0
28,S,"3190 Cook Isle Apt. 837, Vargasshire, CO 80975",grad_high_school,childcare,5,1,0.0,,"['fb', 'c']",0,19.33,,,2021-01-11,1,nan,"['wrestlingnews.com', 'QSRfinanceinfo.com', 'premiertechnews.com']",,silver,0.0,0.0
32,S,"7383 Rogers Passage, Devinfort, VA 24531",grad_college,business,12,1,0.0,,"['bxb', 'fb', 'bsb', 'c', 'fb', 'bxb', 'bsb', 'fb', 'c', 'c']",1,,778.2,passport,2022-05-26,3,Fish Network,"['UBCbooksnews.com', 'majorbooksmagazine.com', 'QSRfurniturenews.com']",,silver,1.0,1867.9708106464145
23,U,"4518 Rogers Burg, Port Travis, TX 75189",grad_college,healthcare,3,0,0.0,,['bsb'],0,,,,2017-03-21,1,DefecTV,"['market.com', 'totalwrestlingmagazine.com', 'actionmarketmagazine.com', 'totalrecipesmagazine.com', 'dailyoutdoor.com', 'dailymarketinfo.com', 'UBCcampingreport.com']",,gold,0.0,0.0
36,U,"37794 Stephenson Loop Unit 518, Vickishire, CA 91684",some_college,retail,11,1,11.0,2021.0,,1,12.65,,,,4,Spectral,"['UBCwrestlerclips.com', 'majorwildlifeclips.com', 'wildlifeinfo.com', 'outdoorinfo.com', 'furniturenews.com']",,silver,0.0,0.0
61,U,"584 Duke Valley, Rowlandborough, CA 90476",grad_high_school,government,11,1,3.0,2010.0,"['fb', 'fb', 'fb', 'bsb', 'fb', 'c', 's', 'bsb', 'bxb', 'c']",0,,,,2020-04-07,5,ShrewTube,['QSRfinancenews.com'],,gold,0.0,0.0
32,S,"453 Michael Junction, North Carlos, CA 93622",grad_college,healthcare,8,0,0.0,,"['bxb', 'bsb', 'c', 'fb', 'c', 'c', 'c', 'bxb', 'c', 'fb']",1,8.56,520.87,maincard,2018-08-29,3,nan,"['nationaloutdoorclips.com', 'dailywrestlernews.com', 'UBCfurnitureinfo.com']",,gold,1.0,2011.5942264693922
60,U,"30473 Taylor Place, Christopherfurt, CA 94941",phd,finance,4,1,0.0,,"['s', 'c', 'fb', 'bxb', 'bsb', 'bsb', 's', 's', 'bsb', 'bsb']",1,,349.31,maincard,2017-11-11,1,DefecTV,"['majortech.com', 'UBCbooksnews.com', 'UBCmarketreport.com', 'globaltech.com', 'actionrecipesinfo.com']",,bronze,0.0,0.0
75,U,"912 Michael Lock, New Sheilaview, MO 65268",grad_college,business,6,0,5.0,2011.0,"['bsb', 'bsb', 'bxb', 'c', 'bxb', 'bxb', 'c', 'fb']",1,3.06,155.39,passport,2018-01-21,3,Infinity,"['dailyoutdoornews.com', 'premierfinancenews.com', 'globalsports.com', 'actionpoliticsclips.com']",,silver,0.0,0.0
49,U,"9636 Garrison Vista Unit 835, Smashville, NV 88918",some_college,,8,1,10.0,2012.0,,0,10.65,190.08,maincard,,4,DefecTV,"['firstwildlifereport.com', 'actionbooksnews.com', 'firstwildlifeclips.com', 'totalbooksinfo.com']",,silver,1.0,1075.4897371015313
38,U,"60357 Nelson Springs Apt. 193, Howardmouth, CA 90266",grad_high_school,retail,11,1,4.0,2022.0,['bsb'],1,54.17,78.71,maincard,,5,nan,"['premierbooksinfo.com', 'marketreport.com', 'UBCcampingreport.com']","3, 4",bronze,0.0,0.0
45,S,"529 Ramirez Isle Apt. 003, Pruittmouth, CA 92566",grad_college,marketing,12,0,23.0,2011.0,"['fb', 'fb', 'c', 'p', 's', 'fb', 'fb', 'fb', 'c', 'fb']",0,3.63,375.79,SLAMEX,2016-04-29,2,nan,"['majormarketmagazine.com', 'dailyfinanceinfo.com', 'totaloutdoor.com']",,bronze,0.0,0.0
35,U,"031 Mariah Corners, North Zacharyberg, CA 95023",grad_college,finance,9,0,0.0,,,0,0.6,153.03,passport,2020-09-06,5,Cheezeline,"['majorrecipesreport.com', 'actionfinanceclips.com', 'firstwildlife.com', 'majorwrestlingnews.com']",,silver,0.0,0.0
49,S,"750 Laura Square, New Elizabeth, CA 90596",grad_college,business,11,1,0.0,,,0,44.47,,,2023-01-19,4,Spectral,"['nationaltechinfo.com', 'premierfurnitureclips.com', 'dailyfightingmagazine.com', 'globalsportinfo.com', 'premierwrestlingclips.com']",,silver,0.0,0.0
20,R,"76844 Allen Grove Unit 992, Alejandrochester, CA 94641",grad_college,tech,1,0,0.0,,,1,25.24,1.93,passport,2020-02-10,1,Infinity,"['premierpoliticsnews.com', 'globalpoliticsnews.com', 'dailyfinancenews.com', 'actionsportsreport.com', 'UBCwrestlerreport.com']",,bronze,1.0,2058.458795281759
20,U,"83284 Wright Shore Apt. 189, Powellmouth, CA 91999",grad_high_school,healthcare,1,0,0.0,,['bxb'],0,32.37,78.81,pursuit,2022-03-19,3,nan,"['dailybooksmagazine.com', 'wildlife.com', 'QSRtechclips.com']",,bronze,0.0,0.0
26,U,"739 Megan Views, DiBiase, CA 92461",no_hs_diploma,retail,6,1,4.0,2021.0,,1,12.81,,,2021-10-25,1,Spectral,"['globalpoliticsreport.com', 'totalcampinginfo.com', 'firstoutdoor.com', 'premierwildlife.com']",,gold,0.0,0.0
63,S,"50945 Joshua Stravenue, Coreymouth, CA 91808",phd,business,9,1,21.0,2021.0,"['bxb', 'fb', 'bxb', 'bsb', 'bsb', 'fb', 'fb']",0,6.65,149.4,passport,2016-12-01,5,Spectral,"['dailyfurniturereport.com', 'globalpoliticsnews.com', 'globalfinancereport.com', 'actionfurniture.com', 'globaloutdoornews.com', 'dailyfightingmagazine.com']",,gold,1.0,3205.9159066520274
19,S,"453 Marcus Summit, Lake Charles, CA 92865",grad_high_school,education,2,0,0.0,,,0,,65.56,passport,2021-08-27,1,ShrewTube,"['totaloutdoormagazine.com', 'actionpoliticsclips.com', 'UBCmarketclips.com', 'dailywrestlerreport.com']",,silver,1.0,1380.4497026874856
28,U,"967 Day Pass, Lake Larry, WA 98681",grad_college,finance,7,0,0.0,,,0,5.98,76.4,locate,,5,Spectral,"['firstcampingnews.com', 'premierfightingnews.com', 'dailyoutdoor.com', 'techmagazine.com', 'UBCmarketclips.com']",,bronze,0.0,0.0
67,U,"7839 Kristi Gardens, Ericksonview, TX 78823",grad_college,tech,8,1,0.0,,"['bxb', 'fb', 's', 'bxb', 'fb', 'fb', 'fb', 'bxb', 'c', 'fb']",1,26.71,13.34,passport,,5,Infinity,"['techreport.com', 'totalwrestlingmagazine.com', 'premieroutdoorreport.com']",,bronze,0.0,0.0
28,S,"10836 David Loaf Unit 338, Lake Alexa, CA 91195",grad_high_school,retail,8,1,1.0,2021.0,,1,,131.42,passport,2020-09-19,1,Infinity,"['totalrecipes.com', 'globalpolitics.com', 'majortechinfo.com', 'majorrecipesinfo.com']",,silver,1.0,2030.6585887213157
66,U,"240 Johnston Summit, Meyerborough, CA 95087",some_college,childcare,12,1,1.0,2019.0,,1,8.8,276.31,passport,2016-07-12,0,Infinity,"['globalbooksclips.com', 'firstrecipesmagazine.com', 'globalwildlifereport.com']",,gold,1.0,1504.1647146163932
51,S,"7659 Paige Meadow Unit 623, North Rebecca, CA 93902",grad_high_school,retail,9,1,12.0,2022.0,"['c', 'c', 'fb', 'fb', 'fb']",0,106.15,167.78,SLAMEX,2023-01-26,5,Fish Network,"['wildlifenews.com', 'nationalbooksmagazine.com', 'majorfinanceclips.com', 'UBCpoliticsnews.com']",,bronze,1.0,3439.923727695776
20,S,"459 Emily Oval, Port Jamesfort, CA 90549",some_college,service,1,0,1.0,2022.0,['fb'],0,188.63,4.44,passport,2021-08-06,0,DefecTV,['firstoutdoorclips.com'],,silver,1.0,3156.1133603055496
38,U,"443 Abigail Villages Unit 192, Peterburgh, TX 79182",masters_professional,retail,14,1,2.0,2017.0,"['c', 'fb', 'bsb', 'fb', 'c', 'fb', 'c', 'fb', 'fb', 'bsb']",0,8.17,454.16,pursuit,2019-05-11,2,nan,"['premierwrestlerinfo.com', 'dailyrecipesreport.com', 'UBCtechinfo.com', 'premiercampingnews.com']",,gold,1.0,2941.149722761158
33,S,"13292 Robin Station Unit 025, North Caseyfurt, FL 32905",some_college,,12,1,1.0,2014.0,,0,6.77,119.02,pursuit,2020-01-01,1,Spectral,"['premierrecipesnews.com', 'QSRwrestlerreport.com', 'globalmarketnews.com']",,bronze,1.0,2766.064695287132
49,U,"09565 Valentine Passage Unit 199, Lake Jaredton, TX 79580",some_college,retail,6,1,3.0,2021.0,,0,,98.57,pursuit,2018-06-04,3,ShrewTube,"['premierfinance.com', 'premierwrestler.com', 'majorsportclips.com', 'actionpoliticsinfo.com', 'QSRfinancemagazine.com']",,gold,1.0,2186.705723799098
